IATA_CODE,AIRPORT,TotalFlights,CancellationRate,AverageFlightsPerDay,AverageDelay,AverageArrDelay,AverageDelay_CARRIER_DELAY,AverageDelay_WEATHER_DELAY,AverageDelay_NAS_DELAY,AverageDelay_SECURITY_DELAY,AverageDelay_LATE_AIRCRAFT_DELAY
PIA,General Wayne A. Downing Peoria International Airport,40829,3.1326,11.37,12.6,14.14,20.86,3.7,17.9,0.09,28.09
PIB,Hattiesburg-Laurel Regional Airport,2763,1.9182,0.77,17.79,19.23,51.73,0.52,10.41,0.01,37.63
PIH,Pocatello Regional Airport,11082,1.0467,3.09,4.63,5.91,9.72,2.32,12.64,0.02,25.4
PIT,Pittsburgh International Airport,327235,1.5307,91.15,10.18,11.03,14.43,2.84,18.3,0.03,23.47
PLN,Pellston Regional Airport of Emmet County,5953,3.8972,1.66,14.63,14.57,32.25,8.3,8.49,0.25,56.85
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),87965,1.753,24.5,10.36,11.23,15.09,2.64,14.51,0.04,29.22
PPG,Pago Pago International Airport (Tafuna Airport),696,0.1437,0.19,39.23,40.94,59.58,6.77,20.98,0.38,71.94
PSC,Tri-Cities Airport,32342,1.3264,9.01,7.71,8.64,18.58,1.81,16.7,0.1,27.41
PSE,Mercedita Airport,7899,2.5446,2.2,9.96,10.3,6.07,0.36,7.89,0.34,44.59
PSG,Petersburg James A. Johnson Airport,7189,1.7944,2.0,10.46,10.15,6.11,2.46,5.61,0.37,40.29
PSP,Palm Springs International Airport,107890,1.23,30.05,12.34,12.74,23.37,1.37,19.14,0.14,24.45
PUB,Pueblo Memorial Airport,1689,2.013,0.47,15.34,18.22,14.83,5.66,15.93,0.07,49.72
PVD,Theodore Francis Green State Airport,153072,1.9795,42.64,10.38,10.65,14.37,2.96,17.85,0.12,24.46
PWM,Portland International Jetport,67385,3.1654,18.77,13.91,14.93,18.14,2.8,25.16,0.03,25.8
RAP,Rapid City Regional Airport,42267,2.3233,11.77,10.84,11.83,17.84,3.99,14.98,0.03,30.28
RDD,Redding Municipal Airport,12419,4.316,3.46,17.76,18.44,10.97,0.63,24.94,0.01,40.79
RDM,Redmond Municipal Airport (Roberts Field),31790,1.6955,8.86,11.88,12.41,16.89,4.34,22.23,0.07,32.03
RDU,Raleigh-Durham International Airport,442069,2.101,123.14,12.14,12.79,15.35,2.5,20.4,0.04,24.74
RHI,Rhinelander-Oneida County Airport,5696,3.2479,1.59,11.3,12.92,22.89,4.62,14.36,0.08,33.59
RIC,Richmond International Airport,175338,2.3418,48.84,13.25,14.24,21.14,2.21,22.48,0.07,23.56
RKS,Rock Springs-Sweetwater County Airport,14204,2.8724,3.96,8.59,10.12,15.41,4.8,12.72,0.31,28.73
RNO,Reno/Tahoe International Airport,175156,0.9369,48.79,10.16,10.11,12.03,1.41,12.97,0.03,29.22
ROA,Roanoke Regional Airport (Woodrum Field),27089,3.363,7.55,15.44,16.41,20.76,2.96,17.21,0.04,34.14
ROC,Greater Rochester International Airport,103112,2.5807,28.72,12.79,13.72,15.89,2.6,23.87,0.04,26.4
ROW,Roswell International Air Center,10005,2.5587,2.79,10.85,11.88,19.7,7.71,9.79,0.15,29.41
RST,Rochester International Airport,21593,3.5011,6.01,11.65,13.51,18.62,3.74,17.92,0.06,29.96
RSW,Southwest Florida International Airport,282794,1.1195,78.77,11.45,11.5,14.61,1.44,18.71,0.02,28.77
SAF,Santa Fe Municipal Airport,13715,2.5082,3.82,14.21,15.44,23.62,5.53,12.08,0.02,30.83
SAN,San Diego International Airport (Lindbergh Field),797453,1.1342,222.13,10.19,9.95,12.36,1.07,13.81,0.1,25.43
SAT,San Antonio International Airport,363933,0.9573,101.37,9.94,9.81,14.51,2.05,11.95,0.07,27.65
SAV,Savannah/Hilton Head International Airport,98821,2.4782,27.53,14.06,14.69,17.48,3.03,21.89,0.07,25.93
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),87302,2.2038,24.32,13.27,13.88,11.83,1.03,24.71,0.03,33.33
SBN,South Bend International Airport (South Bend Regional),48006,2.7997,13.37,14.14,14.98,25.81,4.37,16.2,0.08,26.81
SBP,San Luis Obispo County Regional Airport (McChesney Field),42985,2.4381,11.97,14.23,15.21,9.99,1.05,25.37,0.08,33.46
SCC,Deadhorse Airport (Prudhoe Bay Airport),7945,2.2152,2.21,8.09,8.09,4.97,7.49,5.94,0.39,34.32
SCE,University Park Airport,8121,2.5736,2.26,13.26,14.22,23.92,7.1,18.31,0.06,29.22
SDF,Louisville International Airport (Standiford Field),154351,1.7473,42.99,12.5,13.06,16.33,2.39,19.1,0.06,26.9
SEA,Seattle-Tacoma International Airport,1142246,0.4821,318.17,8.56,9.03,16.99,1.59,15.29,0.09,15.8
SFO,San Francisco International Airport,1612933,1.7938,449.28,14.92,14.68,16.09,0.78,9.8,0.05,32.87
SGF,Springfield-Branson National Airport,65243,2.5704,18.17,13.45,15.0,25.34,3.81,17.82,0.03,25.24
SGU,St. George Regional Airport,22821,0.5258,6.36,6.3,6.9,18.84,2.16,9.13,0.04,26.96
SHV,Shreveport Regional Airport,59227,2.4465,16.5,12.64,13.51,25.53,3.37,11.8,0.01,29.93
SIT,Sitka Rocky Gutierrez Airport,13166,1.0254,3.67,9.33,9.19,15.68,8.28,6.99,0.56,29.74
SJC,Norman Y. Mineta San José International Airport,440830,0.9963,122.79,9.22,8.9,13.97,1.0,7.7,0.15,26.52
SJT,San Angelo Regional Airport (Mathis Field),10541,3.3299,2.94,12.21,12.8,19.49,4.79,8.56,0.03,33.56
SJU,Luis Muñoz Marín International Airport,244702,1.208,68.16,12.83,12.78,20.17,0.68,9.22,0.19,29.51
SLC,Salt Lake City International Airport,1146480,0.5233,319.35,7.83,8.34,18.77,2.26,13.91,0.05,17.32
SMF,Sacramento International Airport,437978,0.9532,122.0,9.67,9.32,13.02,0.72,9.19,0.06,27.93
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),9442,2.8066,2.63,7.35,7.94,12.42,3.0,10.25,0.35,32.53
SNA,John Wayne Airport (Orange County Airport),414091,1.0618,115.35,9.33,8.93,10.67,1.24,15.72,0.05,24.18
SPI,Abraham Lincoln Capital Airport,17378,4.0799,4.84,12.59,14.32,19.51,2.91,22.94,0.04,30.67
SPS,Wichita Falls Municipal Airport/Sheppard AFB,8363,4.5797,2.33,11.31,12.33,22.77,6.31,9.99,0.03,32.48
SRQ,Sarasota-Bradenton International Airport,46497,1.1592,12.95,12.12,12.49,17.7,1.74,20.01,0.02,28.27
STC,St. Cloud Regional Airport,695,4.8921,0.19,21.08,25.62,9.61,0.8,30.77,0.35,31.57
STL,St. Louis International Airport at Lambert Field,568963,1.3616,158.49,11.95,11.54,13.94,2.22,12.62,0.05,25.44
STT,Cyril E. King Airport,36850,1.4763,10.26,12.28,12.48,19.06,1.42,12.39,0.23,34.73
STX,Henry E. Rohlsen Airport,8846,1.0852,2.46,11.38,11.37,19.82,0.81,8.79,0.55,29.46
SUN,Friedman Memorial Airport,16128,8.817,4.49,8.15,9.13,10.67,5.53,18.53,0.08,31.38
SUX,Sioux Gateway Airport,4031,3.8204,1.12,15.59,18.11,20.17,8.18,20.31,0.19,20.99
SWF,Stewart International Airport,14152,2.1057,3.94,14.8,15.8,21.76,3.41,13.79,0.01,32.33
SYR,Syracuse Hancock International Airport,82127,2.6751,22.88,13.4,14.76,18.44,2.73,23.46,0.08,25.06
TLH,Tallahassee International Airport,44407,1.8578,12.37,12.38,13.5,15.98,3.24,13.67,0.05,32.23
TOL,Toledo Express Airport,7146,4.0022,1.99,11.96,13.53,15.51,3.46,24.25,0.01,27.84
TPA,Tampa International Airport,686678,0.9635,191.28,11.36,11.12,14.72,2.95,14.38,0.03,27.23
TRI,Tri-Cities Regional Airport,25594,1.7895,7.13,12.18,13.25,22.29,4.23,13.92,0.04,30.11
TTN,Trenton Mercer Airport,14263,1.8299,3.97,19.66,20.39,18.33,2.43,22.09,0.0,36.01
TUL,Tulsa International Airport,176847,1.6862,49.26,10.35,10.75,14.73,2.69,13.62,0.06,30.07
TUS,Tucson International Airport,190078,0.7802,52.95,8.85,8.95,16.88,1.52,13.41,0.03,24.66
TVC,Cherry Capital Airport,32686,3.1298,9.1,13.26,14.29,16.6,3.04,19.34,0.03,32.84
TWF,Magic Valley Regional Airport (Joslin Field),12064,1.1605,3.36,5.81,7.05,12.47,6.54,12.57,0.22,24.57
TXK,Texarkana Regional Airport (Webb Field),9910,4.3491,2.76,10.39,11.59,24.93,5.93,10.29,0.03,28.69
TYR,Tyler Pounds Regional Airport,14982,3.5776,4.17,10.55,11.33,16.25,4.33,12.27,0.01,33.97
TYS,McGhee Tyson Airport,108278,2.2027,30.16,13.43,14.65,20.47,2.3,21.58,0.03,25.33
UST,Northeast Florida Regional Airport (St. Augustine Airport),606,3.3003,0.17,25.29,24.42,11.96,2.53,20.92,0.0,40.78
VEL,Valdez Airport,1044,1.9157,0.29,5.58,6.28,32.31,0.54,9.53,0.0,37.81
VLD,Valdosta Regional Airport,9976,1.4635,2.78,11.25,12.78,19.75,2.06,13.78,0.02,32.08
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,59725,2.0511,16.64,12.64,13.64,19.0,4.26,14.3,0.04,28.19
WRG,Wrangell Airport,7250,1.931,2.02,9.09,9.16,5.48,3.25,6.0,0.16,40.35
WYS,Westerly State Airport,2593,0.5399,0.72,4.62,5.09,20.99,0.37,6.49,0.17,32.51
XNA,Northwest Arkansas Regional Airport,108981,2.962,30.36,14.34,15.67,21.56,4.79,20.34,0.05,27.25
YAK,Yakutat Airport,7227,1.6189,2.01,8.0,8.26,5.35,3.08,5.76,0.06,44.16
YUM,Yuma International Airport,26838,1.3265,7.48,6.23,6.77,19.36,2.38,8.8,0.4,26.68
